1	Mainly Alpha
2.60.220	Chondroitinase Ac; Chain A, domain 3
2.60.240	Viral Chemokine Inhibitor; Chain A
2.60.250	Baculovirus p35
2.60.260	HSP40/DNAj peptide-binding domain
2.60.270	Mutm (Fpg) Protein; Chain: A, domain 2 
2.60.290	Hypothetical Protein Tm1070; Chain: A
2.60.300	Hypothetical Protein Aq_1857; Chain: A; 
2.60.310	Hemocyanin; Chain: A, domain 2
2.60.320	mini-chromosome maintenance (MCM) complex, domain 2
2.60.330	receptor-binding protein prd1-p2, domain 2
2.60.340	baseplate structural protein gp8, domain 1
2.60.350	Dex49a from penicillium minioluteum complex, domain 1
2.60.370	Ctag/Cox11 (Pfam 04442)
2.60.390	beta-galactosidase, domain 3
2.60.410	Peptidoglycan synthesis regulatory factor (PBP3), Domain 2
2.60.420	Maltose phosphorylase, domain 3
2.60.430	YopX-like fold
2.60.440	YacF-like 
2.60.450	lipopolysaccharide transport protein A fold
2.60.460	protein yfey like fold
2.60.470	Acid-sensing ion channels like fold
2.60.480	eubacterium ventriosum atcc fold
2.60.490	atp-gated p2x4 ion channel fold
2.60.500	Surface Active Protein fold
2.60.510	EV matrix protein fold
2.60.520	Triple-stranded beta-helix 
2.70.9	Adenovirus Type 2 Hexon; domain 4
2.70.10	Thrombin Inhibitor (Hirudin); Chain I
2.70.20	Topoisomerase I; domain 3
2.70.40	Deoxyuridine 5'-Triphosphate Nucleotidohydrolase; Chain A
2.70.50	Coagulation Factor XIII; Chain A, domain 1
2.70.70	Glucose Permease (Domain IIA)
2.70.98	Beta-galactosidase; Chain A, domain 5
2.70.100	1,4-Beta-D-Glucan Cellobiohydrolase I; Chain A
2.70.130	Cation-dependent Mannose-6-phosphate Receptor; Chain A
2.70.150	Calcium-transporting ATPase, cytoplasmic transduction domain A
2.70.160	Hnrnp arginine n-methyltransferase1
2.70.170	Acetylcholine Binding Protein; Chain: A, 
2.70.180	Protein Yojf; Chain: A; 
2.70.210	Spo0b-associated Gtp-binding Protein; Chain: A, 
2.70.220	Ganglioside M2 Activator Protein; Chain: A, 
2.70.230	Glycoprotein D; Chain: A; 
2.70.240	Leukocidin-like
2.70.250	receptor-binding protein prd1-p2, domain 3
2.80.10	Trefoil (Acidic Fibroblast Growth Factor, subunit A)
2.90.10	Agglutinin, subunit A
2.90.20	Plasmodium vivax P25 fold
2.100.10	Vitelline Membrane Outer Layer Protein I, subunit A
2.102.10	Rieske Iron-sulfur Protein
2.102.20	beta-galactosidase, domain 2
2.102.30	tm1086 (SG structure) fold
2.105.10	Pseudo beta propeller
2.110.10	Hemopexin
2.115.10	Tachylectin-2; Chain A
2.120.10	Neuraminidase
2.130.10	Methylamine Dehydrogenase; Chain H
2.140.10	Methanol Dehydrogenase; Chain A
2.150.10	Alkaline Protease, subunit P, domain 1
2.160.10	UDP N-Acetylglucosamine Acyltransferase; domain 1
2.160.20	Pectate Lyase C-like
2.160.30	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 2
2.170.8	Phosphoenolpyruvate Carboxykinase; domain 2
2.170.9	Adenovirus Type 2 Hexon; domain 1
2.170.11	DNA Topoisomerase I; domain 2
2.170.14	Tailspike Protein; Chain
2.170.15	Proaerolysin; Chain A, domain 3
2.170.16	Endonuclease - Pi-scei; Chain A, domain 1
2.170.30	Empty Capsid Viral Protein 2
2.170.40	HIV Envelope Protein Gp120; Chain G
2.170.120	RNA Polymerase Alpha Subunit; Chain A, domain 2
2.170.130	Ferric Hydroxamate Uptake Protein; Chain A, domain 1
2.170.140	Antimicrobial Protein, Tachycitin; Chain A
2.170.150	Metal Binding Protein, Guanine Nucleotide Exchange Factor; Chain A
2.170.160	Endo-1,4-beta-glucanase f; domain 2
2.170.170	Malate synthase G - maily-beta sub-domain
2.170.180	Methuselah ectodomain, domain 2
2.170.190	Molybdopterin biosynthesis moeA protein; domain 3
2.170.200	Regulatory Protein E2; Chain: A; Domain 2
2.170.210	Dna Repair Protein Xrcc4; Chain: A, domain 1
2.170.220	Methionyl-trna Synthetase; domain 2
2.170.230	Signal Peptidase I; Chain: A, domain 2
2.170.240	Noncollagenous (NC1) domain of collagen IV
2.170.260	paz domain
2.170.270	Beta-clip-like
2.170.280	f41 fragment of flagellin, middle domain
2.170.290	baseplate structural protein gp8, domain 2
2.170.300	Tie2 ligand-binding domain fold
3.10.10	HIV Type 1 Reverse Transcriptase; Chain A, domain 1
3.10.20	Ubiquitin-like (UB roll)
3.10.25	Methionyl-tRNA Fmet Formyltransferase; Chain A, domain 2
3.10.28	Endonuclease I-creI
3.10.40	Pertussis Toxin; Chain B, domain 1
3.10.50	Chitinase A; domain 3
3.10.100	Mannose-Binding Protein A; Chain A
3.10.105	Dipeptide-binding Protein; domain 3
3.10.110	Ubiquitin Conjugating Enzyme
3.10.120	Flavocytochrome B2; Chain A, domain 1
3.10.129	Thiol Ester Dehydrase; Chain A
3.10.130	P-30 Protein
3.10.150	DNA Polymerase III; Chain A, domain 2
3.10.170	Elastase; domain 1
3.10.180	2,3-Dihydroxybiphenyl 1,2-Dioxygenase; domain 1
3.10.196	Cobalamin-dependent Methionine Synthase; domain 1
3.10.200	Carbonic Anhydrase II
3.10.250	Mac-2 Binding Protein
3.10.260	Mlu1-box Binding Protein; DNA-binding Domain
3.10.270	Urate Oxidase
3.10.280	Mitochondrial Matrix Protein; Chain A
3.10.290	Structural Genomics Hypothetical 15.5 Kd Protein In mrcA-pckA Intergenic Region; Chain A
3.10.300	3-methyladenine DNA Glycosylase; Chain A
3.10.310	Diaminopimelate Epimerase; Chain A, domain 1
3.10.320	Class II Histocompatibility Antigen, M Beta Chain; Chain B, domain 1
3.10.330	Vcp-like ATPase; Chain A, domain 2
3.10.340	Methenyltetrahydromethanopterin Cyclohydrolase; Chain A, domain 1
3.10.350	Membrane-bound Lytic Murein Transglycosylase D; Chain A
3.10.360	Antimicrobial Peptide, Beta-defensin 2; Chain A
3.10.380	Ribonuclease domain of colicin e3 (Residues 456-551)
3.10.390	SAND domain
3.10.400	Sulfate adenylyltransferase
3.10.410	Formyltetrahydrofolate synthetase; domain 3
3.10.420	Bacterial Protein-export protein SecB
3.10.430	Ribosomal Protein L9; domain 2
3.10.440	Ribosomal Protein L31e; Chain: W; 
3.10.450	Nuclear Transport Factor 2; Chain: A, 
3.10.460	VSV matrix protein
3.10.470	chromosomal protein mc1
3.10.490	Hypothetical upf0131 protein ytfp
3.10.500	prostaphopain b, domain 1
3.10.510	NE1680-like fold
3.10.520	T-fold
3.10.530	CPE0013-like fold
3.10.540	duf1285 like fold
3.10.550	Atu2299-like
3.10.560	Outer membrane lipoprotein wza fold like
3.10.570	sex pheromone staph- cam373 precursor fold
3.10.580	CBS-domain
3.10.590	ph1033 like fold
3.10.600	pyruvate carboxylase f1077a mutant fold
3.10.610	Pili subunits
3.10.620	C8orf32 fold
3.10.630	dip2346 fold like
3.10.640	Restriction endonuclease-like alpha-beta roll fold
3.10.650	MalF N-terminal region-like 
3.10.660	Microbial ribonuclease fold
3.10.670	Secreted effector protein ssei fold
3.15.10	Bactericidal permeability-increasing protein; domain 1
3.15.20	Bactericidal permeability-increasing protein; domain 2
3.15.30	putative capsid protein of prophage fold
3.20.10	D-amino Acid Aminotransferase; Chain A, domain 2
3.20.14	L-fucose Isomerase; Chain A, domain 3
3.20.16	Serine Protease, Human Cytomegalovirus Protease; Chain A
3.20.19	Aconitase; domain 4
3.20.20	TIM Barrel
3.20.70	Anaerobic Ribonucleotide-triphosphate Reductase Large Chain
3.20.80	Multidrug-efflux Transporter 1 Regulator Bmrr; Chain A
3.20.90	Tubby Protein; Chain A
3.20.100	mRNA Triphosphatase Cet1; Chain A
3.20.110	7-stranded beta/alpha barrel
3.20.120	hfbii hydrophobin
3.20.130	fumarase
3.20.140	nicotinate phosphoribosyltransferase
3.20.160	pseudo Tubby roll
3.20.170	ADP-ribosylation fold
3.20.180	Split barrel-like
3.20.190	N-terminal domain of MutM-like DNA repair proteins
3.20.200	Protein kinase-like fold
3.30.9	D-Amino Acid Oxidase; Chain A, domain 2
3.30.10	Trypsin Inhibitor V; Chain A
3.30.20	Endochitinase; domain 2
3.30.30	Defensin A-like
3.30.40	Herpes Virus-1
3.30.43	Uridine Diphospho-n-acetylenolpyruvylglucosamine Reductase; domain 2
3.30.44	Smk Toxin, Beta chain
3.30.46	Glycine N-methyltransferase; chain A, domain 1
3.30.50	Erythroid Transcription Factor GATA-1; Chain A
3.30.54	Replication Terminator Protein; Chain A, domain 2
3.30.56	Phenylalanyl-tRNA Synthetase; Chain B, domain 1
3.30.60	Wheat Germ Agglutinin (Isolectin 2); domain 1
3.30.62	Nef Regulatory Factor
3.30.63	Guanylate Kinase phosphate binding domain
3.30.65	Bacterial Topoisomerase I; domain 1
3.30.66	Viral Topoisomerase I
3.30.67	Viral Envelope Glycoprotein; domain 2
3.30.70	Alpha-Beta Plaits
3.30.110	Translation Initiation Factor IF3
3.30.160	Double Stranded RNA Binding Domain
3.30.170	Cyclin-Dependent Kinase Subunit Type 2
3.30.190	Ribulose 1,5 Bisphosphate Carboxylase/Oxygenase
3.30.200	Phosphorylase Kinase; domain 1
3.30.210	Beta Polymerase; domain 3
3.30.230	Ribosomal Protein S5; domain 2
3.30.240	CRO Repressor
3.30.250	Rec A Protein; domain 2
3.30.260	GROEL; domain 2
3.30.280	Urease; subunit A
3.30.300	GMP Synthetase; Chain A, domain 3
3.30.305	Colicin Ia; domain 2
3.30.310	TATA-Binding Protein
3.30.342	DNA Polymerase; Chain A, domain 1
3.30.350	Subtilisin Inhibitor
3.30.360	Dihydrodipicolinate Reductase; domain 2
3.30.365	Aldehyde Oxidoreductase; domain 4
3.30.370	Barnase; Chain D
3.30.379	Chitobiase; domain 2
3.30.380	MS2 Viral Coat Protein
3.30.386	Chitosanase; Chain A, domain 2
3.30.387	Viral Envelope Glycoprotein; domain 3
3.30.390	Enolase-like; domain 1
3.30.410	Cholesterol Oxidase; domain 2
3.30.412	Proaerolysin; Chain A, domain 2
3.30.413	Sulfite Reductase Hemoprotein; domain 1
3.30.420	Nucleotidyltransferase; domain 5
3.30.428	HIT family, subunit A
3.30.429	Macrophage Migration Inhibitory Factor
3.30.430	Killer Toxin P4; Chain A
3.30.450	Beta-Lactamase
3.30.457	Copper Amine Oxidase; Chain A, domain 1
3.30.460	Beta Polymerase; domain 2
3.30.465	Uridine Diphospho-n-acetylenolpyruvylglucosamine Reductase; domain 3
3.30.470	D-amino Acid Aminotransferase; Chain A, domain 1
3.30.479	Tetrahydropterin Synthase; Chain A
3.30.497	Antithrombin; Chain I, domain 2
3.30.499	Aconitase; domain 3
3.30.500	Murine Class I Major Histocompatibility Complex, H2-DB; Chain A, domain 1
3.30.505	SHC Adaptor Protein
3.30.519	Guanine Nucleotide Dissociation Inhibitor; domain 2
3.30.530	Alpha-D-Glucose-1,6-Bisphosphate; Chain A, domain 4
3.30.540	Fructose-1,6-Bisphosphatase; Chain A, domain 1
3.30.559	Chloramphenicol Acetyltransferase
3.30.560	Glucose Oxidase; domain 3
3.30.565	Heat Shock Protein 90
3.30.572	Thymidylate Synthase; Chain A
3.30.590	Creatine Kinase; Chain A, domain 2
3.30.700	Glycoprotein, Type 4 Pilin
3.30.710	Potassium Channel Kv1.1; Chain A
3.30.720	Signal recognition particle alu RNA binding heterodimer, srp9/1
3.30.730	GCC-box Binding Domain
3.30.740	Protein Inhibitor Of Neuronal Nitric Oxide Synthase
3.30.750	Transcription Regulator spoIIAA
3.30.760	RNA Cap, Translation Initiation Factor Eif4e
3.30.780	Translation Initiation Factor Eif1
3.30.800	Phosphatidylinositol Phosphate Kinase II Beta
3.30.810	Phosphatidylinositol Phosphate Kinase Iibeta; Chain: A, domain 2
3.30.830	Cytochrome Bc1 Complex; Chain A, domain 1
3.30.860	30s Ribosomal Protein S19; Chain A
3.30.870	Endonuclease; Chain A
3.30.890	Methyl-cpg-binding Protein 2; Chain A
3.30.900	Cell Cycle, Spindle Assembly Checkpoint Protein; Chain A
3.30.910	Protein Binding, DinI Protein; Chain A
3.30.920	Metal Transport, Frataxin; Chain A
3.30.930	BirA Bifunctional Protein; domain 2
3.30.950	Methyltransferase, Cobalt-precorrin-4 Transmethylase; Domain 2
3.30.960	Translation, Eukaryotic Peptide Chain Release Factor Subunit 1; Chain A
3.30.980	Threonyl-tRNA Synthetase; Chain A, domain 2
3.30.990	Formiminotransferase-cyclodeaminase; Chain B, domain 1
3.30.1010	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 4
3.30.1020	Antioxidant, Horf6; Chain A, domain 2
3.30.1030	Methenyltetrahydromethanopterin Cyclohydrolase; Chain A, domain 2
3.30.1040	Carboxypeptidase Inhibitor; Chain A
3.30.1050	Nonspecific Lipid-transfer Protein; Chain A
3.30.1060	Peptide Methionine Sulfoxide Reductase; Chain A
3.30.1070	Cell Cycle; Chain A
3.30.1110	Adenosine kinase, small domain
3.30.1120	Arylsulfatase, C-terminal domain
3.30.1130	GTP Cyclohydrolase I, domain 2
3.30.1140	Ribosomal protein S3 C-terminal domain 
3.30.1150	Fusion Protein Consisting Of Minor Coat Protein, Glycine Rich Linker, Tola, And A His Tag; Chain: A; Domain 2
3.30.1160	Cyanate Lyase; Chain: A, domain 2
3.30.1170	Valyl-trna Synthetase; Chain: A, domain 4
3.30.1180	Hypothetical Protein Tm841; Chain: A;domain 3
3.30.1190	Dna-binding Protein Tfx; Chain: A; 
3.30.1200	Conserved Hypothetical Protein Mth637; Chain: A; 
3.30.1220	Hypothetical Protein Yjia; Chain: A;domain 2
3.30.1230	Hypothetical Cytosolic Protein; Chain: A; 
3.30.1240	Hypothetical Protein, Haloacid Dehalogenase-like Hydrolase; Chain: A; domain 2
3.30.1250	Hypothetical 12.0 Kda Protein In Nam8-gar1 Intergenic Region; Chain: A; 
3.30.1280	Mth169; Chain: A , 
3.30.1300	Pantoate--beta-alanine Ligase; Chain: A,domain 2
3.30.1310	Ybab; Chain: A; 
3.30.1320	S16 Ribosomal Protein; Chain: A; 
3.30.1330	60s Ribosomal Protein L30; Chain: A; 
3.30.1340	Histidine-containing Protein; Chain: A; 
3.30.1350	Crambin
3.30.1360	Gyrase A; domain 2
3.30.1370	Ribosomal Protein S8; Chain: A, domain 1
3.30.1380	Muramoyl-pentapeptide Carboxypeptidase; domain 2
3.30.1390	Ribosomal Protein L30; Chain: A, 
3.30.1400	Cell Division Protein Zipa; Chain: A,
3.30.1410	Gtp Cyclohydrolase I Feedback Regulatory Protein; Chain: K
3.30.1420	Dissimilatory Siroheme-sulfite Reductase; Chain: A; domain 1
3.30.1430	Ribosomal Protein L3; Chain: B; domain 2,
3.30.1440	50s Ribosomal Protein L5; Chain: A, 
3.30.1450	Beta-lactamase Inhibitory Protein; Chain:B, domain 1
3.30.1460	Yope Regulator; Chain: A, 
3.30.1470	Photosystem 1 Reaction Centre Subunit Ii; Chain: D; 
3.30.1480	N Utilization Substance Protein A; Chain:P; domain 4
3.30.1490	Dna Ligase; domain 1
3.30.1500	Heme-binding Protein A; Chain: A; 
3.30.1510	Domain 2, N(10)-formyltetrahydrofolate synthetase
3.30.1520	PX Domain
3.30.1530	manganese catalase, domain 2, chain A
3.30.1540	formyl-coa transferase, domain 3
3.30.1550	Ribosomal protein L11, N-terminal domain
3.30.1560	Mago nashi protein
3.30.1570	YopH tyrosine phosphatase N-terminal domain
3.30.1580	Head-to-tail joining protein W, gpW
3.30.1590	Maltooligosyl trehalose synthase, domain 2
3.30.1600	SIR2/SIRT2 'Small Domain'
3.30.1610	c-terminal autoproteolytic domain of nucleoporin nup98
3.30.1620	b-12 dependent (class ii) ribonucleotide reductase, Chain A, Domain 2
3.30.1640	mini-chromosome maintenance (MCM) complex, chain A, domain 1
3.30.1650	Bifunctional carbon monoxide dehydrogenase/acetyl-coa synthase(codh/acs), Chain M, domain 3
3.30.1660	Dodecin subunit-like
3.30.1670	3-mercaptopyruvate sulfurtransferase, domain 3
3.30.1680	ligand-binding face of the semaphorins, domain 2
3.30.1690	TcpA-like pilin
3.30.1700	lpxc deacetylase, domain 1
3.30.1710	top7, de novo designed protein
3.30.1730	amp nucleosidase, domain 1
3.30.1740	first zn-finger domain of poly(adp-ribose) polymerase-1
3.30.1750	hemolytic lectin cel-iii, domain 3
3.30.1760	Conserved hypothetical protein from pyrococcus furiosus pfu- 392566-001, domain 2
3.30.1770	TPR 1 domain of DNA polymerase
3.30.1780	ornithine cyclodeaminase, domain 1
3.30.1790	hypothetical protein mp506/mpn330, domain 2
3.30.1810	YdfO-like fold
3.30.1820	Lp2179-like fold
3.30.1830	YehR-like fold
3.30.1840	polyphosphate kinase like
3.30.1850	MCP/YpsA-like
3.30.1860	uncharacterized conserved protein from methanopyrus kandleri fold like
3.30.1870	EreA/ChaN-like, small alpha-beta sandwich
3.30.1880	protein ne1242 fold
3.30.1890	Bacterial polysaccharide co-polymerase-like
3.30.1900	glyoxalase-related enzyme like fold
3.30.1910	so0334 like fold
3.30.1920	Phage tail proteins - 2 layer sandwich fold
3.30.1930	capsid protein of prophage fold
3.30.1940	Nucleic acid-binding protein fold
3.30.1950	wza like fold
3.30.1960	SSo0622-like fold
3.30.1970	AF2331-like fold
3.30.1980	Hypothetical protein Ta1206 fold
3.30.1990	CbiD-like
3.30.2000	STM4215-like
3.30.2010	Zincin-like
3.30.2020	NE0471 N-terminal domain-like
3.30.2030	TBP-like
3.30.2040	PSTPO5379-like fold
3.30.2050	photosynthetic oxygen evolving center fold
3.30.2060	Penicillin-binding protein 1b fold
3.30.2070	Formate dehydrogenase/DMSO reductase,
3.30.2080	GH92 mannosidase fold
3.30.2090	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains 
3.30.2110	CbiD-like
3.30.2120	Bacillus phage protein
3.30.2130	VC0802-like
3.30.2140	Arylamine N-acetyltransferase fold
3.30.2150	S-adenosyl-L-methionine-dependent methyltransferases
3.30.2160	Hect, E3 ligase catalytic domain
3.30.2170	archaeoglobus fulgidus dsm 4304 fold
3.30.2180	ATP12-like
3.30.2190	PG1857-like 
3.30.2200	histidine kinase doma clostridium symbiosum atcc 14940
3.30.2210	Integron cassette protein  fold
3.30.2220	rbstp2171 
3.30.2230	DUSP-like
3.30.2240	mRNA decapping enzyme DcpS N-terminal fold
3.30.2250	Prim-pol fold
3.30.2260	ERH-like fold
3.30.2270	Folate-binding fold
3.30.2280	copper amine oxidase-like fold
3.30.2290	PmbA/TldD fold
3.30.2300	THUMP fold
3.30.2310	YaeB-like fold
3.30.2320	hypothetical protein PF0899 fold
3.30.2330	arginine biosynthesis bifunctional protein fold
3.30.2340	Pseudouridine synthase
3.30.2350	Pseudouridine synthase
3.30.2360	Glyceraldehyde-3-phosphate dehydrogenase-like fold
3.30.2370	putative pyruvate dehydrogenase fold
3.30.2380	PF0523-like
3.30.2390	TTHA1013/TTHA0281-like
3.30.2400	Major capsid protein gp5 fold
3.30.2410	Hect, E3 ligase catalytic fold
3.30.2420	TolA/TonB C-terminal domain 
3.30.2430	Phosphothreonine lyase fold
3.30.2440	Secreted effector protein SifA fold
3.30.2450	Secreted effector protein pipB2 fold
3.30.2460	Endo-n-acetylneuraminidase fold
3.40.5	Ribosomal Protein L9; domain 1
3.40.10	DNA Methylphosphotriester Repair Domain
3.40.20	Severin
3.40.30	Glutaredoxin
3.40.33	Pathogenesis-related Protein p14a
3.40.35	Fructose Permease
3.40.47	Peroxisomal Thiolase; Chain A, domain 1
3.40.50	Rossmann fold
3.40.80	Lysozyme-like
3.40.91	Restriction Endonuclease
3.40.109	NADH Oxidase
3.40.120	Alpha-D-Glucose-1,6-Bisphosphate; Chain A, domain 3
3.40.140	Cytidine Deaminase; domain 2
3.40.190	D-Maltodextrin-Binding Protein; domain 2
3.40.198	Delta-endotoxin CytB
3.40.210	PvuII Endonuclease; Chain A
3.40.220	Leucine Aminopeptidase, subunit E; domain 1
3.40.225	L-fuculose-1-phosphate Aldolase
3.40.228	Dimethylsulfoxide Reductase; domain 2
3.40.250	Oxidized Rhodanese; domain 1
3.40.275	L-fucose Isomerase; Chain A, domain 2
3.40.309	Aldehyde Dehydrogenase; Chain A, domain 2
3.40.350	Creatine Amidinohydrolase; Chain A, domain 1
3.40.366	Malonyl-Coenzyme A Acyl Carrier Protein; domain 2
3.40.367	Hexokinase; domain 1
3.40.390	Collagenase (Catalytic Domain)
3.40.395	Adenoviral Proteinase; Chain
3.40.420	Ricin (A subunit); domain 1
3.40.430	Dihydrofolate Reductase, subunit A
3.40.440	Adenylosuccinate Synthetase; Chain A, domain 1
3.40.449	Phosphoenolpyruvate Carboxykinase; domain 1
3.40.462	Vanillyl-alcohol Oxidase; Chain A, domain 3
3.40.470	Uracil-DNA Glycosylase, subunit E
3.40.525	Phosphatidylinositol Transfer Protein Sec14p
3.40.532	Ubiquitin C-terminal Hydrolase UCH-l3
3.40.570	Extracellular Endonuclease; Chain A
3.40.580	ECO RI Endonuclease; Chain A
3.40.600	ECO RV Endonuclease; Chain A
3.40.605	Aldehyde Dehydrogenase; Chain A, domain 1
3.40.630	Aminopeptidase
3.40.640	Aspartate Aminotransferase; domain 2
3.40.710	Beta-lactamase
3.40.718	Isopropylmalate Dehydrogenase
3.40.720	Alkaline Phosphatase, subunit A
3.40.800	Arginase; Chain A
3.40.830	Protocatechuate 4,5-dioxygenase; Chain B
3.40.850	Kinesin
3.40.910	Deoxyhypusine Synthase
3.40.920	Pyruvate-ferredoxin Oxidoreductase; domain 3
3.40.930	Mannitol-specific EII; Chain A
3.40.950	Fe-only Hydrogenase (Larger Subunit); Chain L, domain 3
3.40.960	Endonuclease; Chain A
3.40.970	Ribonuclease HI; Chain A
3.40.980	Molybdenum Cofactor Biosythetic Enzyme; Chain A
3.40.1000	Protein Transport Mog1p; Chain A
3.40.1010	Cobalt-precorrin-4 Transmethylase; domain 1
3.40.1020	Biosynthetic Threonine Deaminase; domain 3
3.40.1030	Pyrimidine Nucleoside Phosphorylase; Chain A, domain 2
3.40.1050	Beta-carbonic Anhydrase; Chain A
3.40.1060	Aconitase; Domain 2
3.40.1080	Glutaconate Coenzyme A-transferase
3.40.1090	Cytosolic phospholipase A2 catalytic domain
3.40.1110	Calcium-transporting ATPase, cytoplasmic domain N
3.40.1120	Ribosomal protein L15e
3.40.1130	Glycerol-3-phosphate (1)-acyltransferase
3.40.1140	N-terminal domain of mukB
3.40.1160	Carbamate kinase
3.40.1170	MutS, DNA mismatch repair protein, domain I
3.40.1180	Undecaprenyl pyrophosphate synthetase
3.40.1190	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
3.40.1210	Stationary-phase Survival Protein Sure Homolog; Chain: A,
3.40.1230	Hypothetical Protein Mth938; Chain: A,
3.40.1260	Hypothetical Protein Ychn; Chain: A, 
3.40.1280	Alpha/beta knot
3.40.1310	Replication Protein E1; Chain: A, 
3.40.1340	Dna-directed Rna Polymerases I, Ii, And Iii 27 Kd Polypeptide; Chain: A; domain 1
3.40.1350	Trna Endonuclease; Chain: A, domain 1
3.40.1360	Dna Topoisomerase Vi A Subunit; Chain: A, domain 2
3.40.1370	Ribosomal Protein L4; Chain: A; 
3.40.1380	Pyruvate Kinase; Chain: A, domain 1
3.40.1390	Udp-n-acetylmuramoylalanyl-d-glutamate--2,6- Diaminopimelate Ligase; Chain: A, domain 1
3.40.1400	Ribose 5-phosphate Isomerase B; Chain: A, 
3.40.1410	Chorismate lyase
3.40.1420	Inhibitor of vertebrate lysozyme, Ivy
3.40.1440	GIY-YIG endonuclease
3.40.1450	2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain
3.40.1460	Nuia
3.40.1470	Bifunctional carbon monoxide dehydrogenase/acetyl-coa synthase(codh/acs), Chain M, domain 5
3.40.1480	glycerate kinase, domain 1
3.40.1490	Bit1
3.40.1500	oxygen-dependent coproporphyrinogen oxidase
3.40.1510	Hut operon positive regulatory protein HutP
3.40.1520	hypothetical protein tt1634
3.40.1530	hypothetical protein tt1805
3.40.1540	Hypothetical protein pa4535
3.40.1550	Chemotaxis protein chec
3.40.1560	type ii restriction endonuclease, domain 2
3.40.1570	Heme iron utilization protein-like fold
3.40.1580	SMI1/KNR4-like
3.40.1590	NMB0488-like fold
3.40.1600	PH1570-like fold
3.40.1610	CV3147-like fold
3.40.1620	YefM-like fold
3.40.1630	S-adenosyl-L-methionine-dependent methyltransferases
3.40.1640	PSTPO5379-like
3.40.1650	RbsD-like fold
3.40.1660	EreA/ChaN-like  fold
3.40.1670	UbiD C-terminal domain-like 
3.40.1680	yp_829618.1 fold 
3.40.1690	name from scop
3.40.1700	YojJ-like (1
3.40.1710	abc type-2 transporter like fold
3.40.1720	Streptococcus thermophilus LMG 18311 protein like
3.40.1730	pa0076 fold
3.40.1740	VC0467-like
3.40.1750	peptide peptidase (sppa) fold
3.40.1760	Hypothetical protein yfbM fold
3.40.1770	Urocanase fold
3.40.1780	QueA-like
3.40.1790	Indigoidine synthase fold
3.40.1800	His-Me finger endonuclease fold
3.40.1810	SRF-like
3.40.1820	Ribonuclease H-like motif
3.40.1830	Thermophilic metalloprotease-like
3.40.1840	Profilin-like
3.40.1850	HECT-like ubiquitin ligase fold
3.50.4	Hepatocyte Growth Factor
3.50.7	GroEL
3.50.14	Replication Terminator Protein (Tus); Chain A, domain 1
3.50.20	Pyruvoyl-Dependent Histidine Decarboxylase; Chain B
3.50.30	Glucose Oxidase; domain 1
3.50.40	Phenylalanyl-tRNA Synthetase; Chain B, domain 3
3.50.50	FAD/NAD(P)-binding domain
3.50.70	Chalcone isomerase
3.50.80	D-tyrosyl-trna(Tyr) Deacylase; Chain: A; 
3.50.90	YerB-like fold
3.50.100	protein il1583 fold
3.55.10	Archease, Possible Chaperone; Chain: A; domain 1
3.55.20	Protein-l-isoaspartate O-methyltransferase; Chain: A, domain 2
3.55.30	Hsp33 domain
3.55.40	minor pseudopilin epsh fold
3.55.50	Phage tail protein beta-alpha-beta fold
3.55.60	Reovirus components fold
3.60.9	Aldehyde Ferredoxin Oxidoreductase;  A, domain 1
3.60.10	Deoxyribonuclease I; Chain A
3.60.15	Metallo-beta-lactamase; Chain A
3.60.20	Glutamine Phosphoribosylpyrophosphate, subunit 1, domain 1
3.60.21	Purple Acid Phosphatase; chain A, domain 2
3.60.40	Phosphatase 2c; domain 1
3.60.60	Penicillin V Acylase; Chain A
3.60.70	L-amino peptidase D-ALA esterase/amidase
3.60.90	S-adenosylmethionine decarboxylase
3.60.100	Cytotoxic necrotizing factor 1 (CNF1)
3.60.110	Nitrilase/N-carbamoyl-D-aminoacid amidohydrolase
3.60.120	Anthranilate synthase
3.60.130	Double-stranded beta-helix
3.60.140	CNF1/YfiH-like putative cysteine hydrolases
3.60.150	Chorismate synthase, AroC fold
3.60.160	Double-stranded beta-helix
3.65.10	UDP-n-acetylglucosamine1-carboxyvinyl-transferase; Chain
3.70.10	Proliferating Cell Nuclear Antigen
3.75.10	L-arginine/glycine Amidinotransferase; Chain A
3.80.10	Leucine-rich repeat, LRR (right-handed beta-alpha superhelix)
3.80.20	24 nucleotide stem-loop, u2 snrnp hairpin iv. U2 a'; Chain A
3.80.30	pyruvate-formate lyase- activating enzyme
3.90.10	Cytochrome C3
3.90.15	Topoisomerase I; Chain A, domain 3
3.90.20	Hemagglutinin Ectodomain; Chain B
3.90.25	UDP-galactose 4-epimerase; domain 1
3.90.39	Hexon Major Viral Coat Protein; domain 2
3.90.45	Peptide Deformylase
3.90.50	Photosynthetic Reaction Center; Chain H, domain 2
3.90.55	Dimethylsulfoxide Reductase; domain 3
3.90.56	Phenol Hydroxylase P2 Protein
3.90.70	Cathepsin B; Chain A
3.90.75	Homing Intron 3 (I-Ppo) Encoded Endonuclease; Chain A
